"","V4","total"
"751","@ItsRitz",26812
"752","@cartier2gs",26807
"753","@kneeyockartee",26798
"754","@rudybetrayed",26729
"755","@domycw",26719
"756","@leahgreenb",26657
"757","@pnvich",26656
"758","@pasteldotz",26626
"759","@zalifahms",26551
"760","@emchirinoo",26497
"761","@JRehling",26488
"762","@zubymusic",26482
"763","@giyourdad",26411
"764","@iamchocom",26409
"765","@jakelobin",26409
"766","@jobreauxx",26378
"767","@escribinista",26323
"768","@ann4castro",26275
"769","@torinickswho",26275
"770","@ceraliza",26271
"771","@lookitstaylorrr",26234
"772","@galeforcerob",26148
"773","@JEONSGOODE",26136
"774","@aziedee",26135
"775","@teeniibiomic",26115
"776","@drbriansteixner",26107
"777","@wherewomenbloom",26072
"778","@GlblCtzn",26064
"779","@kirawontmiss",26025
"780","@allisonpearson",26004
"781","@jameshamblin",25935
"782","@fayebitchin",25926
"783","@imageswift13",25921
"784","@yinyangashh",25872
"785","@blooddonorsin",25868
"786","@hallebailey",25856
"787","@noliewithbtc",25798
"788","@msjunediane",25796
"789","@hackblackburn",25783
"790","@ivybaby",25720
"791","@nnnancccy",25703
"792","@baladee8",25690
"793","@mlizza",25687
"794","@RespectableLaw",25684
"795","@movingsideways",25605
"796","@tweetatok",25604
"797","@allonso99",25603
"798","@allisonlcarter",25575
"799","@thedemonicalien",25572
"800","@vitariesocks",25543
"801","@supramantrax",25408
"802","@parismills",25403
"803","@yerrrone",25344
"804","@DWUhlfelderLaw",25236
"805","@starbuckonly",25232
"806","@katpapajohns",25211
"807","@shaunharvir",25194
"808","@catcontentonly",25168
"809","@MichaelCoudrey",25110
"810","@adrianxpression",25108
"811","@highmynameisrae",25103
"812","@ongaddict",25068
"813","@DanielLewis3",25060
"814","@robinwannabefly",25057
"815","@terryjtucker",25031
"816","@vhopehug",24992
"817","@miyaohyeah",24972
"818","@dadetrading",24964
"819","@cretinaofc",24914
"820","@refreshmintia",24905
"821","@nkhaosod",24898
"822","@WhiteHouse",24885
"823","@sonusood",24883
"824","@calgif",24875
"825","@ChicagoTraderrr",24859
"826","@impatientourist",24856
